Compressor Roll Force,Punch Stiffness,Pre-compressor Roll Force,Tab Cylinder High (main),Tab Fill Depth,Magnesium Citrate Quality,Particle Size Retention,Potency Concentration,Output
19.60000038,49,2.299999952,0.610000014,9.025000095,99.85,2.65,99.605,bad
18.39999962,44,2.5,0.75,9.125,99.85,2.65,99.605,bad
18.29999924,44,2.450000048,0.75,9.075000286,99.85,2.65,99.605,bad
17.85000038,53,2.450000048,0.685000002,9.220000267,99.85,2.45,99.64,bad
18.25,57,2.450000048,0.699999988,9.179999828,99.85,2.45,99.64,bad
19.55000019,56,2.599999905,0.629999995,9.079999924,99.8,2.5,99.58,bad
19.05000019,66,2.400000095,0.669999987,9.285000324,100.1,1.9,99.8,bad
18.60000038,73.5,2.850000024,0.680000007,9.490000248,100.1,1.9,99.8,bad
19,73,2.900000095,0.680000007,9.46999979,100.1,1.9,99.8,bad
19.05000019,76,2.950000048,0.694999993,9.389999866,100.1,1.9,99.8,bad
19.54999924,70,2.900000095,0.694999993,9.464999676,100.1,1.9,99.8,bad
19.5,77,2.950000048,0.715000004,9.539999962,100.1,1.9,99.8,bad
17.94999981,70,2.75,0.694999993,9.224999905,100,1.85,99.755,bad
18.84999943,69,2.850000024,0.700000018,9.275000095,100,1.85,99.755,bad
18.59999943,67,2.799999952,0.700000018,9.279999733,100,1.85,99.755,bad
18.85000038,63,2.700000048,0.705000013,9.25,100,1.85,99.755,bad
18.75,73,2.700000048,0.724999994,9.289999962,100,1.85,99.755,bad
18.44999981,70,2.900000095,0.700000018,9.099999905,99.9,1.8,99.71,bad
18.75,45,2.799999952,0.710000008,9.090000153,99.9,1.8,99.71,bad
18.75,72,2.799999952,0.729999989,9.119999886,99.9,1.8,99.71,bad
18.45000029,65.75,2.725000024,0.715000004,9.097500086,99.9,1.8,99.71,bad
17.25,72,2.700000048,0.724999994,9.210000038,99.9,1.8,99.71,bad
17.05000019,72,2.649999976,0.705000013,9.170000076,99.9,1.8,99.71,bad
17.70000076,67,2.699999928,0.724999994,9.200000286,99.9,1.8,99.71,bad
18.60000038,70.5,2.900000095,0.715000004,9.355000019,99.9,1.8,99.71,bad
18.75,66.5,2.850000024,0.734999985,9.269999981,99.9,1.8,99.71,bad
17.89999962,77,2.850000024,0.674999982,9.25,99.7,2,99.51,bad
9.199999809,73,1.550000001,0.695000023,9.255000114,99.7,2,99.51,bad
